Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.9136
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,731.9399999999999,3,0.0,219.58199999999997
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.8713999999999995
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.03100000000006
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,22.368000000000002,2,0.2,2.516399999999999
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.169399999999996
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.9656000000000002
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.71520000000004
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.46999999999999
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,1706.1840000000002,9,0.2,85.3091999999998
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.35680000000002
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,15.552000000000003,3,0.2,5.4432
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,407.97600000000006,3,0.2,132.59219999999993
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,68.80999999999999,5,0.8,-123.858
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,2.5439999999999996,3,0.8,-3.8160000000000016
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.317599999999999
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.989999999999995
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0.0,2.4823999999999993
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,TEC-PH-10001949,213.48000000000002,3,0.2,16.01099999999998
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.383999999999999
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,19.459999999999997,7,0.0,5.0596
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,60.339999999999996,7,0.0,15.688400000000001
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,71.37199999999999,2,0.3,-1.0196000000000005
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.6299999999999,3,0.0,240.2649
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,11.648000000000001,2,0.2,4.2224
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57000000000001,3,0.0,11.774100000000004
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.4300000000003,7,0.5,-1665.0522
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.618000000000002,2,0.7,-7.0532
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.20000000000002,3,0.2,15.524999999999991
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-EN-10001509,3.2640000000000002,2,0.2,1.1015999999999997
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.709199999999989
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10001525,6.858000000000001,6,0.7,-5.715
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.5460000000000007
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.946799999999998
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,1097.5440000000003,7,0.2,123.4736999999999
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.96300000000002
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.97640000000001
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.146999999999991
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.75639999999996
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.556399999999996
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0.0,3.8939999999999912
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.56160000000001
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,TEC-AC-10000171,45.98,2,0.0,19.7714
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,OFF-BI-10003291,17.46,2,0.0,8.206199999999999
CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0.0,8.478399999999993
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-AC-10002167,45.0,3,0.0,4.950000000000001
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0.0,6.104000000000001
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0.0,17.9634
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-LA-10002762,75.17999999999999,6,0.0,35.334599999999995
